name,EN_1,FR_1,AR_1,module_type_1,url,value_1,updated_at_1,EN_2,FR_2,AR_2,module_type_2,url_2,value_2,households,04M,04F,511M,511F,1217M,1217F,1859M,1859F,60M,60F,updated_at_2,latitude,longitude,country_code,instance_id
Turkey,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=224,1938999,2015-08-25 09:31:30,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=224,1938999,0,29016,26290,28682,27349,20026,18972,58443,58847,4908,4987,2015-08-25 09:31:30,39.0597,35.1792,TUR,syria
Iraq,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=103,248503,2015-09-13 00:00:00,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=103,248503,87971,19352,18705,20181,19098,14764,11227,83904,55801,2543,2928,2015-09-13 00:00:00,33.056,43.765,IRQ,syria
North Africa,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,,24055,2014-05-13 11:16:55,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,,24055,,,,,,,,,,,,2014-05-13 11:16:55,29.7773,16.5184,DZA,syria
Egypt,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=8,132375,2015-07-05 12:44:23,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=8,132375,46861,8196,7812,13176,12425,8319,7728,35066,34064,2812,2777,2015-07-05 12:44:23,30.0155,31.1357,ARE,syria
Jordan,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=107,628887,2015-09-17 00:00:00,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=107,628887,,54407,51406,69636,66055,43479,40789,133178,147666,9318,12953,2015-09-17 00:00:00,31.2539,36.7886,JOR,syria
Lebanon,Registered Syrian Refugees *,Réfugiés syriens enregistrés *,Registered Syrian Refugees *,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=122,1113941,,,,,,,,,,,,,2015-08-25 17:59:03,33.7904,35.9768,LEB,syria
