name,country,region,EN,FR,AR,module_name,value,updated_at,latitude,longitude,instance_id,url
Aqabah,Jordan,Aqaba Governorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,3162,2015-12-02 00:00:00,29.541005000,35.039363000,syria,
Anbar Non-Camp,Iraq,Anbar,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,2991,2015-11-28 00:00:00,34.357235000,41.129200000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=178&country=103&region=85
Tafilah ,Jordan,Tafilah Govenorate,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,1670,2015-12-02 00:00:00,30.845058000,35.625229000,syria,
Ninewa Non-Camp Refugees,Iraq,Ninewa,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,1589,2015-11-28 00:00:00,36.000000000,42.466700000,syria,
Al-Obaidi Camp,Iraq,Anbar,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,1519,2015-11-28 00:00:00,34.357235000,41.129200000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=260&country=103&region=85
Refugees Dispersed in Iraq,Iraq,Refugees Dispersed in Iraq ,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,1389,2015-11-28 00:00:00,33.333300000,44.433300000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=234&country=103&region=109
Akre Settlement,Iraq,Duhok,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,1254,2015-11-28 00:00:00,36.735436590,43.879589380,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=256&country=103&region=63
Bekaa,Lebanon,Bekaa,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,371627,2015-11-30 00:00:00,33.831051000,35.914856000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=201&country=122&region=90
Sulaymaniyah Non-Camp,Iraq,Sulaymaniyah,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,22397,2015-11-28 00:00:00,35.551354000,45.442406000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=152&country=103&region=64
Dispersed in Jordan,Jordan,Dispersed in Jordan,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,14635,2015-12-02 00:00:00,31.949381000,35.932911000,syria,
Erbil Non-Camp,Iraq,Erbil,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,81019,2015-11-28 00:00:00,36.191110000,44.009100000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=151&country=103&region=65
South Lebanon,Lebanon,South Lebanon,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,125233,2015-11-30 00:00:00,33.267398000,35.204315000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=204&country=122&region=89
Urban Refugees,Turkey,Turkey,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,2028220,2015-12-10 15:32:42,37.059561000,37.380982000,syria,
North Lebanon,Lebanon,North Lebanon,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,261071,2015-11-30 00:00:00,34.435797000,35.825729000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=203&country=122&region=87
Beirut,Lebanon,Beirut,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,312258,2015-11-30 00:00:00,33.886944000,35.513056000,syria,http://data.unhcr.org/syrianrefugees/settlement.php?id=202&country=122&region=88

