name,EN_1,FR_1,AR_1,module_type_1,url,value_1,updated_at_1,EN_2,FR_2,AR_2,module_type_2,url_2,value_2,households,04M,04F,511M,511F,1217M,1217F,1859M,1859F,60M,60F,updated_at_2,latitude,longitude,country_code,instance_id
Turkey,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=224,2503549,2015-12-31 13:49:57,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=224,2503549,0,29016,26290,28682,27349,20026,18972,58443,58847,4908,4987,2015-12-31 13:49:57,39.0597,35.1792,TUR,syria
Iraq,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=103,244527,2015-11-28 00:00:00,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=103,244527,86867,19297,18678,19894,18858,14347,10978,82090,54983,2519,2882,2015-11-28 00:00:00,33.056,43.765,IRQ,syria
North Africa,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,,26772,2015-10-01 09:30:59,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,,26772,,,,,,,,,,,,2015-10-01 09:30:59,29.7773,16.5184,DZA,syria
Egypt,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=8,117658,2015-12-31 10:10:40,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=8,117658,41010,7173,6788,11769,11096,7311,6818,31114,30445,2617,2527,2015-12-31 10:10:40,30.0155,31.1357,ARE,syria
Lebanon,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=122,1070189,2015-11-30 08:59:41,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=122,1070189,260967,194366,186164,247166,234595,137089,132884,426124,522112,24313,31298,2015-11-30 08:59:41,33.7904,35.9768,LEB,syria
Jordan,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=107,633466,2015-12-17 00:00:00,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=107,633466,,55922,52940,70396,66649,43473,40788,133136,147869,9319,12974,2015-12-17 00:00:00,31.2539,36.7886,JOR,syria
