name,EN_1,FR_1,AR_1,module_type_1,url,value_1,updated_at_1,EN_2,FR_2,AR_2,module_type_2,url_2,value_2,households,04M,04F,511M,511F,1217M,1217F,1859M,1859F,60M,60F,updated_at_2,latitude,longitude,country_code,instance_id
Turkey,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=224,2291900,2015-12-10 15:33:12,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=224,2291900,0,29016,26290,28682,27349,20026,18972,58443,58847,4908,4987,2015-12-10 15:33:12,39.0597,35.1792,TUR,syria
Iraq,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=103,244527,2015-11-28 00:00:00,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=103,244527,86867,19297,18678,19894,18858,14347,10978,82090,54983,2519,2882,2015-11-28 00:00:00,33.056,43.765,IRQ,syria
North Africa,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,,26772,2015-10-01 09:30:59,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,,26772,,,,,,,,,,,,2015-10-01 09:30:59,29.7773,16.5184,DZA,syria
Egypt,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=8,127681,2015-10-31 11:33:01,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=8,127681,45047,7745,7394,12885,12171,7967,7421,33793,32868,2746,2690,2015-10-31 11:33:01,30.0155,31.1357,ARE,syria
Lebanon,Registered Syrian Refugees *,Réfugiés syriens enregistrés *,Registered Syrian Refugees *,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=122,1070189,2015-11-30 00:00:00,,,,,,,,,,,,,,,,,,,33.7904,35.9768,LEB,syria
Jordan,Total Persons of Concern,Personnes du ressort du HCR,إجمالي الأشخاص المعنيين,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=107,632762,2015-12-02 00:00:00,Registered Syrian Refugees,Réfugiés syriens enregistrés,اللاجئون السوريون المسجلون,Total Population & Demography,http://data.unhcr.org/syrianrefugees/country.php?id=107,632762,,55596,52622,70384,66636,43503,40777,133135,147873,9296,12940,2015-12-02 00:00:00,31.2539,36.7886,JOR,syria
